维度	分值	状态定义	评分细则	实战案例/画像
1. 基本面与护城河	9	垄断印钞机	ROE>20%且PEG<0.8；拥有不可逆特许经营权或技术代差，绝对定价权。	制冷剂寡头、高端芯片设备代工垄断者
1. 基本面与护城河	8	强定价权龙头	CR3>60%；ROE>15%；自由现金流充沛；品牌护城河极深，不惧价格战。	高端白酒龙头、全球定价权资源股
1. 基本面与护城河	7	细分赛道冠军	处于细分第一，成本优势显著；财务健康（现金流正，PEG 1.0-1.2）。	核心半导体替代龙头、优秀 CXO
1. 基本面与护城河	6	优势内卷王	充分竞争但具成本优势，能发动价格战洗牌同行；ROE 10-15%。	头部家电巨头、光伏一体化龙头
1. 基本面与护城河	5	平庸且分散	无明显护城河，同一起跑线；ROE 8-10% 左右，利润低速波动。	大众餐饮、普通服装、基础化工
1. 基本面与护城河	4	护城河受损	门槛降低，毛利率下滑；应收账款增速大于营收增速。	面临天花板的二线白马、普通储能集成商
1. 基本面与护城河	3	红海流血	产品无差异，底线降价拿单；利润大幅下滑，靠借款度日。	低端制造业、面临集采重创仿制药
1. 基本面与护城河	2	泥潭与替代	被新技术降维打击，份额永久流失；扣非净利润连续亏损。	传统变速箱厂、落后产能电池包
1. 基本面与护城河	1	产业链末端	被上下游两头挤压；资不抵债，依靠变卖资产续命。	ST 股、低端代工小厂
1. 基本面与护城河	0	财务欺诈	大存大贷、毛利率畸高且无解释；审计非标。	面临退市的造假股
2. 股东回报与领导层	9	完美共赢	股息率>4%且常态化注销式回购；领导层极具契约精神，历史绝不忽悠。	港股回购王（腾讯）、大股东增持央企
2. 股东回报与领导层	8	慷慨且干净	分红率>50%；历史上极少定增抽血；管理层专注主业不乱跨界，口碑极佳。	治理极佳消费龙头、稳健蓝筹
2. 股东回报与领导层	7	合理且克制	留存利润回报率高；有员工持股绑定；管理层踏实做业务，很少炒作概念。	科技白马、踏实做事的创新药
2. 股东回报与领导层	6	及格水平	象征性分红（20%）；领导层能力平庸但无重大道德瑕疵，按部就班。	大多数基本面尚可的老牌 A 股公司
2. 股东回报与领导层	5	铁公鸡防守	极少分红但不乱增发；领导层极度保守，缺乏现代市值管理意识。	极度保守传统民企、账面趴着巨资的僵尸股
2. 股东回报与领导层	4	资本运作狂	热衷于讲故事炒概念；历史上有多次高位小额定增或并购重组引发稀释。	频繁跨界并购的伪科技股
2. 股东回报与领导层	3	利益输送	几乎不分红发天价薪酬；存在严重的不透明关联交易（肥了老板亏了公司）。	家族色彩浓厚且治理混乱的民企
2. 股东回报与领导层	2	信用破产	业绩连年亏损，领导层屡次违背承诺；曾有被证监会谴责或处罚的不良记录。	长年讲故事、PPT 炒作的劣质概念股
2. 股东回报与领导层	1	恶意抽血	公司本身就是融资工具；管理层心思全在如何合法套现，而非经营业务。	上市即巅峰、为圈钱而生的垃圾股
2. 股东回报与领导层	0	掏空跑路	违规占用资金，转移核心资产；领导层涉嫌违法犯罪或跑路失联。	董事长被抓、面临退市的造假股
3. 新科技革命发展方向	9	革命性底座	核心卖水人/底层专利；处于0到1爆炸期，直接受益全球技术竞赛。	光模块龙头、全固态核心材料
3. 新科技革命发展方向	8	商业化变现	跑通商业模式；利用新技术降本增效，并在财报兑现大规模利润。	垂直软件龙头、成功出海储能商
3. 新科技革命发展方向	7	硬件换代/重塑	硬件规格强制升级受益者；或利用新技术重塑壁垒的绝对赢家。	端侧 AI 高阶零部件、新技术电池大厂
3. 新科技革命发展方向	6	间接配套	新科技物理需求（耗电/散热/基建）带来极其显著增量订单。	液冷设备/变压器、调峰调频电网设备
